,smiles,reactants,reaction_names,num_steps,hits,compound_set
34,Cc1ccc(OC2CCN(C)C2=O)c(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(OCc2ccccc2)c(O)cc1', 'O=C1C(Cl)CCN1C'), 'Cc1ccc(OC2CCN(C)C2=O)c(OCc2ccccc2)c1', ('Cc1ccc(OC2CCN(C)C2=O)c(O)c1', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,"['x0528', 'x0739']",x0528-x0739-merge-1-4
35,Cc1cnc(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,"[('Cc1cnc(OCc2ccccc2)c(O)c1', 'O=C1C(Cl)CCN1C'), 'Cc1cnc(OCc2ccccc2)c(OC2CCN(C)C2=O)c1', ('Cc1cnc(O)c(OC2CCN(C)C2=O)c1', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,"['x0528', 'x0739']",x0528-x0739-merge-1-5
36,CC(=O)Nc1cccc(NC(C)=O)c1CNS(C)(=O)=O,"[('Brc1c(N)cccc1NC(=O)OC(C)(C)C', 'CC(=O)O'), 'CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1Br', ('CC(=O)Nc1cccc(N)c1Br', 'CC(=O)O'), ('CC(=O)Nc1cccc(NC(C)=O)c1Br', 'CC1(C)OB(CNS(C)(=O)=O)OC1(C)C')]","['Amidation', 'N-Boc_deprotection', 'Amidation', 'Sp3-sp2_Suzuki_coupling']",4,"['x0884', 'x0719']",x0884-x0719-merge-1-1
37,CC(=O)Nc1c(CNS(C)(=O)=O)ccc(OCC(=O)N(C)C)c1Br,"[('Fc1ccc(O)c(Br)c1N', 'CC(=O)O'), ('CC(=O)Nc1c(F)ccc(O)c1Br', 'CN(C)C(=O)CCl'), ('CC(=O)Nc1c(F)ccc(OCC(=O)N(C)C)c1Br', 'CC1(C)OB(CNS(C)(=O)=O)OC1(C)C')]","['Amidation', 'Williamson_ether_synthesis', 'Sp3-sp2_Suzuki_coupling']",3,"['x0884', 'x0719']",x0884-x0719-x0922-merge-2-1
38,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1CNS(C)(=O)=O,"[('Nc1cccc(O)c1Br', 'CC(=O)O'), ('CC(=O)Nc1cccc(O)c1Br', 'CN(C)C(=O)CCl'), ('CC(=O)Nc1cccc(OCC(=O)N(C)C)c1Br', 'CC1(C)OB(CNS(C)(=O)=O)OC1(C)C')]","['Amidation', 'Williamson_ether_synthesis', 'Sp3-sp2_Suzuki_coupling']",3,"['x0884', 'x0719']",x0884-x0719-x0922-merge-2-2
39,CC(=O)Nc1cccc(C)c1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1c(C)cccc1N', 'CC(=O)O'), 'CC(=O)Nc1cccc(C)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(C)c1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-2-1
40,CC(=O)Nc1ccccc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1ccccc1N', 'CC(=O)O'), 'CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1ccccc1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-2-2
41,CC(=O)Nc1cc(C)ccc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1ccc(C)cc1N', 'CC(=O)O'), 'CC(=O)Nc1cc(C)ccc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cc(C)ccc1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-2-3
42,CC(=O)Nc1ccc(C)cc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1cc(C)ccc1N', 'CC(=O)O'), 'CC(=O)Nc1ccc(C)cc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1ccc(C)cc1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-2-4
43,CC(=O)Nc1ccc(C)cc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1cc(C)ccc1N', 'CC(=O)O'), 'CC(=O)Nc1ccc(C)cc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1ccc(C)cc1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-2-5
44,CC(=O)Nc1cccc(F)c1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1c(F)cccc1N', 'CC(=O)O'), 'CC(=O)Nc1cccc(F)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(F)c1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-2-6
45,CC(=O)Nc1cccc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cccc(N)c1', 'CC(=O)O'), 'CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1cccc(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-1
