,target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3,reactant-1-4,reactant-2-4,reaction-product-smiles-4,reaction-name-4,reaction-recipe-4,reaction-groupby-column-4
10,x0310-x0732-merge-2-1,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)CO,CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1,Amidation,standard,TRUE,CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1,,Nc1cccc(NC(=O)CO)c1,Boc deprotection,standard,TRUE,Nc1cccc(NC(=O)CO)c1,N#CCC(=O)O,N#CCC(=O)Nc1cccc(NC(=O)CO)c1,Amidation,standard,TRUE,,,,,,
11,x0310-x0732-merge-2-2,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)CO,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO,Amidation,standard,TRUE,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO,,Cc1ccc(N)cc1NC(=O)CO,Boc deprotection,standard,TRUE,Cc1ccc(N)cc1NC(=O)CO,N#CCC(=O)O,Cc1ccc(NC(=O)CC#N)cc1NC(=O)CO,Amidation,standard,TRUE,,,,,,
12,x0310-x0732-merge-2-3,3,100,40,wasgo-2.0,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)CO,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1,Amidation,standard,TRUE,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1,,Nc1ccnc(NC(=O)CO)c1,Boc deprotection,standard,TRUE,Nc1ccnc(NC(=O)CO)c1,N#CCC(=O)O,N#CCC(=O)Nc1ccnc(NC(=O)CO)c1,Amidation,standard,TRUE,,,,,,
13,x0310-x0732-merge-2-4,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)CO,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,Amidation,standard,TRUE,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)CO)cc1N,Boc deprotection,standard,TRUE,Cc1ccc(NC(=O)CO)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,Amidation,standard,TRUE,,,,,,
14,x0310-x0732-merge-2-5,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)CO,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,Amidation,standard,TRUE,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)CO)cc1N,Boc deprotection,standard,TRUE,Cc1ccc(NC(=O)CO)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,Amidation,standard,TRUE,,,,,,
15,x0310-x0732-merge-2-6,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)CO,CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F,Amidation,standard,TRUE,CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F,,Nc1cc(NC(=O)CO)ccc1F,Boc deprotection,standard,TRUE,Nc1cc(NC(=O)CO)ccc1F,N#CCC(=O)O,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,Amidation,standard,TRUE,,,,,,
16,x0310-x0732-merge-2-7,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)CO,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,Amidation,standard,TRUE,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,,Cc1cc(N)cc(NC(=O)CO)c1,Boc deprotection,standard,TRUE,Cc1cc(N)cc(NC(=O)CO)c1,N#CCC(=O)O,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,Amidation,standard,TRUE,,,,,,
17,x0310-x0732-merge-2-8,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1,O=C(O)CO,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,Amidation,standard,TRUE,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,,Cc1cc(N)cc(NC(=O)CO)c1,Boc deprotection,standard,TRUE,Cc1cc(N)cc(NC(=O)CO)c1,N#CCC(=O)O,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,Amidation,standard,TRUE,,,,,,
18,x0310-x0739-merge-2-1,2,100,40,wasgo-2.0,Cc1cc(O)cc(N)c1,N#CCC(=O)O,Cc1cc(O)cc(NC(=O)CC#N)c1,Amidation,standard,TRUE,Cc1cc(O)cc(NC(=O)CC#N)c1,O=C(CCl)N1CCOCC1,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,TRUE,,,,,,,,,,,,
19,x0310-x0739-merge-2-2,2,100,40,wasgo-2.0,Cc1cnc(O)cc1N,N#CCC(=O)O,Cc1cnc(O)cc1NC(=O)CC#N,Amidation,standard,TRUE,Cc1cnc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,TRUE,,,,,,,,,,,,
20,x0310-x0739-merge-2-3,2,100,40,wasgo-2.0,Cc1cc(O)cc(N)c1,N#CCC(=O)O,Cc1cc(O)cc(NC(=O)CC#N)c1,Amidation,standard,TRUE,Cc1cc(O)cc(NC(=O)CC#N)c1,O=C(CCl)N1CCOCC1,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,TRUE,,,,,,,,,,,,
21,x0310-x0739-merge-2-4,2,100,40,wasgo-2.0,Nc1cccc(O)c1,N#CCC(=O)O,N#CCC(=O)Nc1cccc(O)c1,Amidation,standard,TRUE,N#CCC(=O)Nc1cccc(O)c1,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,TRUE,,,,,,,,,,,,
22,x0310-x0739-merge-2-5,2,100,40,wasgo-2.0,Cc1ccc(O)cc1N,N#CCC(=O)O,Cc1ccc(O)cc1NC(=O)CC#N,Amidation,standard,TRUE,Cc1ccc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,TRUE,,,,,,,,,,,,
23,x0310-x0739-merge-2-6,2,100,40,wasgo-2.0,Cc1ccc(O)cc1N,N#CCC(=O)O,Cc1ccc(O)cc1NC(=O)CC#N,Amidation,standard,TRUE,Cc1ccc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,TRUE,,,,,,,,,,,,
24,x0310-x0739-merge-2-7,2,100,40,wasgo-2.0,Fc1ccc(O)cc1N,N#CCC(=O)O,N#CCC(=O)Nc1cc(O)ccc1F,Amidation,standard,TRUE,N#CCC(=O)Nc1cc(O)ccc1F,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,Williamson ether,standard,TRUE,,,,,,,,,,,,
25,x0310-x0739-merge-2-8,2,100,40,wasgo-2.0,Nc1cc(O)c(C)cc1,N#CCC(=O)O,Cc1ccc(NC(=O)CC#N)cc1O,Amidation,standard,TRUE,Cc1ccc(NC(=O)CC#N)cc1O,O=C(CCl)N1CCOCC1,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,Williamson ether,standard,TRUE,,,,,,,,,,,,
26,x0310-x0739-merge-2-9,2,100,40,wasgo-2.0,Nc1cc(O)c(C)cc1C,N#CCC(=O)O,Cc1cc(C)c(NC(=O)CC#N)cc1O,Amidation,standard,TRUE,Cc1cc(C)c(NC(=O)CC#N)cc1O,O=C(CCl)N1CCOCC1,Cc1cc(C)c(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,TRUE,,,,,,,,,,,,
27,x0310-x0739-merge-2-10,2,100,40,wasgo-2.0,Nc1cncc(O)c1,N#CCC(=O)O,N#CCC(=O)Nc1cncc(O)c1,Amidation,standard,TRUE,N#CCC(=O)Nc1cncc(O)c1,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,TRUE,,,,,,,,,,,,
28,x0310-x0739-merge-2-11,2,100,40,wasgo-2.0,Nc1ccnc(O)c1,N#CCC(=O)O,N#CCC(=O)Nc1ccnc(O)c1,Amidation,standard,TRUE,N#CCC(=O)Nc1ccnc(O)c1,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,TRUE,,,,,,,,,,,,
29,x0528-x0450-merge-1-1,1,100,40,wasgo-2.0,O=C(c1ccc(F)cc1Cl)N(C)C,O=C1C(O)CCN1C,CN(C)C(=O)c1ccc(F)cc1OC1CCN(C)C1=O,Nucleophillic substitution,standard,TRUE,,,,,,,,,,,,,,,,,,
30,x0528-x0450-merge-1-2,1,100,40,wasgo-2.0,CN(C)C(=O)c1ccccc1Cl,O=C1C(O)CCN1C,CN(C)C(=O)c1ccccc1OC1CCN(C)C1=O,Nucleophillic substitution,standard,TRUE,,,,,,,,,,,,,,,,,,
31,x0528-x0732-merge-1-1,2,100,40,wasgo-2.0,Cc1cnc(N)c(O)c1,O=C(O)CO,Cc1cnc(NC(=O)CO)c(O)c1,Amidation,standard,TRUE,Cc1cnc(NC(=O)CO)c(O)c1,O=C1C(Cl)CCN1C,Cc1cnc(NC(=O)COC2CCN(C)C2=O)c(O)c1,Williamson ether,standard,TRUE,,,,,,,,,,,,
32,x0528-x0732-merge-1-2,2,100,40,wasgo-2.0,Nc1ccccc1O,O=C(O)CO,O=C(CO)Nc1ccccc1O,Amidation,standard,TRUE,O=C(CO)Nc1ccccc1O,O=C1C(Cl)CCN1C,CN1CCC(OCC(=O)Nc2ccccc2O)C1=O,Williamson ether,standard,TRUE,,,,,,,,,,,,
33,x0528-x0732-merge-1-3,2,100,40,wasgo-2.0,Cc1cc(O)c(N)cc1,O=C(O)CO,Cc1ccc(NC(=O)CO)c(O)c1,Amidation,standard,TRUE,Cc1ccc(NC(=O)CO)c(O)c1,O=C1C(Cl)CCN1C,Cc1ccc(NC(=O)COC2CCN(C)C2=O)c(O)c1,Williamson ether,standard,TRUE,,,,,,,,,,,,
