Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms
Ax1084a,A71EV2A-x1084_A_147_A71EV2A-x0488+A+147+1,Z1415893881,NC(=O)C1(N)CC1,True,8d - A71EV2A-x1084,8 - A147,F1j - A71_2A_open - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax1105a,A71EV2A-x1105_A_147_A71EV2A-x0395+A+148+1,Z276142580,c1ccc(-c2ccncc2)cc1,True,2a - A71EV2A-x0395,2 - A148,F1a - A71_2A_open - A71EV2A-x0269/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax1105b,A71EV2A-x1105_A_148_A71EV2A-x0395+A+148+1,Z276142580,c1ccc(-c2ccncc2)cc1,True,2a - A71EV2A-x0395,2 - A148,F1a - A71_2A_open - A71EV2A-x0269/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax1109a,A71EV2A-x1109_A_147_A71EV2A-x0395+A+148+1,Z315923746,O=C(O)c1cnc(-c2ccccc2)s1,True,2a - A71EV2A-x0395,2 - A148,F2k - A71_2A_open_small_cell - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1128a,A71EV2A-x1128_A_147_A71EV2A-x0900+A+147+1,Z57663553,Oc1nnc(-c2ccccc2)o1,True,14b - A71EV2A-x1128,14 - A147,F2s - A71_2A_open_small_cell - A71EV2A-x0900/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1140a,A71EV2A-x1140_A_147_A71EV2A-x0501+A+152+1,Z56042334,O=C(CN1CCCC1)c1ccccc1Cl,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1145a,A71EV2A-x1145_A_201_A71EV2A-x0395+A+148+1,Z969111002,Fc1ccc(C[C@H]2CCCNC2)cc1,True,2a - A71EV2A-x0395,2 - A148,F2k - A71_2A_open_small_cell - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1145b,A71EV2A-x1145_A_147_A71EV2A-x0528+A+201+1,Z969111002,Fc1ccc(C[C@@H]2CCCNC2)cc1,True,10a - A71EV2A-x0528,10 - A201,F2o - A71_2A_open_small_cell - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1146a,A71EV2A-x1146_A_147_A71EV2A-x0528+A+201+1,Z362043378,Oc1cnc(-c2ccccc2)nc1,True,10a - A71EV2A-x0528,10 - A201,F2o - A71_2A_open_small_cell - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1148a,A71EV2A-x1148_A_201_A71EV2A-x0501+A+152+1,Z1213725191,Brc1c[nH]cn1,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1148b,A71EV2A-x1148_A_147_A71EV2A-x0395+A+148+1,Z1213725191,Brc1c[nH]cn1,True,2a - A71EV2A-x0395,2 - A148,F2k - A71_2A_open_small_cell - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1169a,A71EV2A-x1169_A_151_A71EV2A-x0501+A+152+1,Z1143441220,N#Cc1cocn1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax1180a,A71EV2A-x1180_A_151_A71EV2A-x0501+A+152+1,Z1198183601,Clc1c[nH]cn1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax1180b,A71EV2A-x1180_B_151_A71EV2A-x0501+A+152+1,Z1198183601,Clc1c[nH]cn1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax1209a,A71EV2A-x1209_A_151_A71EV2A-x0501+A+152+1,Z1203730981,Brc1ncc[nH]1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax1255a,A71EV2A-x1255_B_201_A71EV2A-x0501+A+152+1,NCL-00024387,COCCn1ccc(Br)cc1=O,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax1292a,A71EV2A-x1292_A_151_A71EV2A-x0501+A+152+1,Z57473948,O=C(NC1CC1)c1ccccc1O,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax1293a,A71EV2A-x1293_A_151_A71EV2A-x0395+A+148+1,Z362020366,Nc1nnc2ccccn12,True,2a - A71EV2A-x0395,2 - A148,F3v - A71_2A_open_long_cell - A71EV2A-x1293/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
