,smiles,reactants,name,r0,r0_found,r1,r1_found,r2,r2_found,r3,r3_found,r4,r4_found,r5,r5_found,r6,r6_found
18,CC(=O)Nc1cccc(NC(C)=O)c1CNS(C)(=O)=O,"[('Brc1c(N)cccc1NC(=O)OC(C)(C)C', 'CC(=O)O'), 'CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1Br', ('CC(=O)Nc1cccc(N)c1Br', 'CC(=O)O'), ('CC(=O)Nc1cccc(NC(C)=O)c1Br', 'CC1(C)OB(CNS(C)(=O)=O)OC1(C)C')]",GNGHXHDPKASYTF-UHFFFAOYSA-N,'Brc1cNcccc1NC=OOCCCC',, 'CC=OO',, 'CC=ONc1ccccNC=OOCCCCc1Br',, 'CC=ONc1ccccNc1Br',, 'CC=OO',, 'CC=ONc1ccccNCC=Oc1Br',, 'CC1COBCNSC=O=OOC1CC',
19,CC(=O)Nc1c(CNS(C)(=O)=O)ccc(OCC(=O)N(C)C)c1Br,"[('Fc1ccc(O)c(Br)c1N', 'CC(=O)O'), ('CC(=O)Nc1c(F)ccc(O)c1Br', 'CN(C)C(=O)CCl'), ('CC(=O)Nc1c(F)ccc(OCC(=O)N(C)C)c1Br', 'CC1(C)OB(CNS(C)(=O)=O)OC1(C)C')]",STIQFIHEOJHUKS-UHFFFAOYSA-N,'Fc1cccOcBrc1N',, 'CC=OO',, 'CC=ONc1cFcccOc1Br',, 'CNCC=OCCl',, 'CC=ONc1cFcccOCC=ONCCc1Br',, 'CC1COBCNSC=O=OOC1CC',,,
20,CC(=O)Nc1cccc(C)c1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1c(C)cccc1N', 'CC(=O)O'), 'CC(=O)Nc1cccc(C)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(C)c1N', 'O=C(O)CO')]",HTQKETIGMLSVKZ-UHFFFAOYSA-N,'CCCCOC=ONc1cCcccc1N',, 'CC=OO',, 'CC=ONc1ccccCc1NC=OOCCCC',, 'CC=ONc1ccccCc1N',, 'O=COCO',,,,,
21,CC(=O)Nc1ccccc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1ccccc1N', 'CC(=O)O'), 'CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1ccccc1N', 'O=C(O)CO')]",XIPUDWAUXVXPNO-UHFFFAOYSA-N,'CCCCOC=ONc1ccccc1N',, 'CC=OO',, 'CC=ONc1ccccc1NC=OOCCCC',, 'CC=ONc1ccccc1N',, 'O=COCO',,,,,
22,CC(=O)Nc1cccc(F)c1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1c(F)cccc1N', 'CC(=O)O'), 'CC(=O)Nc1cccc(F)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(F)c1N', 'O=C(O)CO')]",VKJZGMPIQHJVLA-UHFFFAOYSA-N,'CCCCOC=ONc1cFcccc1N',, 'CC=OO',, 'CC=ONc1ccccFc1NC=OOCCCC',, 'CC=ONc1ccccFc1N',, 'O=COCO',,,,,
23,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1NC(=O)CO,"[('Oc1cccc(N)c1NC(=O)OC(C)(C)C', 'CC(=O)O'), 'CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(O)c1N', 'O=C(O)CO'), ('CC(=O)Nc1cccc(O)c1NC(=O)CO', 'CN(C)C(=O)CCl')]",PNVZAYIBWRTCMN-UHFFFAOYSA-N,'Oc1ccccNc1NC=OOCCCC',, 'CC=OO',, 'CC=ONc1ccccOc1NC=OOCCCC',, 'CC=ONc1ccccOc1N',, 'O=COCO',, 'CC=ONc1ccccOc1NC=OCO',, 'CNCC=OCCl',
24,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ncc1C,"[('Cc1cnc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ncc1C', 'O=C(CCl)N1CCOCC1')]",ZVTXJLVFUAMZRS-UHFFFAOYSA-N,'Cc1cncOcc1N',, 'CC=OO',, 'CC=ONc1ccOncc1C',, 'O=CCClN1CCOCC1',,,,,,,
25,CC(=O)Nc1cc(C)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(O)cc(N)c1', 'CC(=O)O'), ('CC(=O)Nc1cc(C)cc(O)c1', 'O=C(CCl)N1CCOCC1')]",NMLCPEMTBQOHIE-UHFFFAOYSA-N,'Cc1ccOccNc1',, 'CC=OO',, 'CC=ONc1ccCccOc1',, 'O=CCClN1CCOCC1',,,,,,,
26,CC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,"[('Nc1cccc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1cccc(O)c1', 'O=C(CCl)N1CCOCC1')]",SMTYBWHFSAKKED-UHFFFAOYSA-N,'Nc1ccccOc1',, 'CC=OO',, 'CC=ONc1ccccOc1',, 'O=CCClN1CCOCC1',,,,,,,
27,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,"[('Cc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1C', 'O=C(CCl)N1CCOCC1')]",JKENRCTVZAQDOU-UHFFFAOYSA-N,'Cc1cccOcc1N',, 'CC=OO',, 'CC=ONc1ccOccc1C',, 'O=CCClN1CCOCC1',,,,,,,
