,smiles,name,frag_small,reactants,reaction_names,num_steps,compound_set,hits
21,CC(=O)Nc1ccccc1NC(=O)CO,XIPUDWAUXVXPNO-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']","[('CC(C)(C)OC(=O)Nc1ccccc1N', 'CC(=O)O'), 'CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1ccccc1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-2-2,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
22,CC(=O)Nc1cccc(F)c1NC(=O)CO,VKJZGMPIQHJVLA-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']","[('CC(C)(C)OC(=O)Nc1c(F)cccc1N', 'CC(=O)O'), 'CC(=O)Nc1cccc(F)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(F)c1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-2-6,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
23,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1NC(=O)CO,PNVZAYIBWRTCMN-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']","[('Oc1cccc(N)c1NC(=O)OC(C)(C)C', 'CC(=O)O'), 'CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(O)c1N', 'O=C(O)CO'), ('CC(=O)Nc1cccc(O)c1NC(=O)CO', 'CN(C)C(=O)CCl')]","['Amidation', 'N-Boc_deprotection', 'Amidation', 'Williamson_ether_synthesis']",4,x0884-x0732-x0922-merge-1-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
24,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ncc1C,ZVTXJLVFUAMZRS-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Cc1cnc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ncc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-2,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
25,CC(=O)Nc1cc(C)cc(OCC(=O)N2CCOCC2)c1,NMLCPEMTBQOHIE-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Cc1cc(O)cc(N)c1', 'CC(=O)O'), ('CC(=O)Nc1cc(C)cc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-3,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
26,CC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,SMTYBWHFSAKKED-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Nc1cccc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1cccc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-4,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
27,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,JKENRCTVZAQDOU-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Cc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
28,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,WMXYYSIGMVYKFL-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Fc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1F', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-7,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
29,CC(=O)Nc1ccc(C)c(OCC(=O)N2CCOCC2)c1,VDDVVUWBLUMWLR-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Nc1cc(O)c(C)cc1', 'CC(=O)O'), ('CC(=O)Nc1ccc(C)c(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-8,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
30,CC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,ZMNSQVIBTKNQGL-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Nc1cncc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1cncc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-10,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
31,CC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,BRSYMCNEXAIIKP-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']","[('Nc1ccnc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1ccnc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-11,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
32,Cc1cc(NC(=O)C2CCCO2)cc(OC2CCN(C)C2=O)c1,APPQVEGAZDMLRK-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']","[('Cc1cc(O)cc(N)c1', 'O=C(O)C1CCCO1'), ('Cc1cc(O)cc(NC(=O)C2CCCO2)c1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0416-merge-1-1,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
33,CN1CCC(Oc2cccc(NC(=O)C3CCCO3)c2)C1=O,VDXZGYJNKRBGHE-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']","[('Nc1cccc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cccc(O)c1)C1CCCO1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0416-merge-1-4,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
